1,2025-05-02,4,2025-05-02 13:03:58.021719 +00:00,11,"",""
4,2025-05-09,0,2025-05-08 12:40:49.371450 +00:00,11,"",""
5,2025-05-06,0,2025-05-08 12:49:30.034865 +00:00,11,"",""
6,2025-05-07,0,2025-05-08 12:49:30.807180 +00:00,11,"",""
7,2025-05-04,0,2025-05-08 15:26:32.727286 +00:00,11,"",""
8,2025-05-05,0,2025-05-08 15:26:33.135101 +00:00,11,"",""
3,2025-05-08,5,2025-05-08 11:40:04.242241 +00:00,11,"",""
12,2025-05-11,0,2025-05-11 10:20:16.901191 +00:00,11,"На сегодня нет записей. Возможно, день прошел спокойно и без примечательных событий. Постарайтесь выделить время на рефлексию, чтобы понять свои чувства и мысли.","Бүгін жазбалар жоқ. Мүмкін, күн тыныш өтті және елеулі оқиғалар болмады. Өз сезімдеріңіз бен ойларыңызды түсіну үшін рефлексия жасауға уақыт табуға тырысыңыз."
13,2025-05-12,0,2025-05-12 16:19:52.246765 +00:00,11,На сегодня нет записей.,Бүгінгі күні жазбалар жоқ.
9,2025-05-10,15,2025-05-10 09:23:15.907944 +00:00,11,"Сегодня был замечательный и приятный вечер, проведенный за просмотром фильма и поеданием пиццы. Это счастье и радость от простых удовольствий напоминает, как важно отдыхать и проводить время с удовольствием. Возможно, стоит чаще устраивать такие вечера для себя, чтобы поднять настроение и улучшить общее самочувствие.","Бүгін фильм көріп, пицца жеп, тамаша әрі көңілді кеш өткіздім. Осындай қарапайым ләззаттардың қуанышы мен бақытын сезіну, демалу мен қуанышты сәттерді өткізу қаншалықты маңызды екендігін еске салады. Мұндай кештерді жиі ұйымдастырған жөн, себебі олар көңіл-күйді көтеріп, жалпы әл-ауқатты жақсартуға көмектеседі."
